,processor_number,brand,nGeneration,Quarter Launch,Year launch,Lithography,nbr_cores,nbr_P-cores,nbr_E-cores,nbr_threads,max_turbo_frequency,performance-core_base_freq,efficient-core_base_freq,processor_base_freq,cache,processor_base_power,max_memory_size,memory_types,max_PCI,supported_socket,processor_graphics,graphics_max_dynamic_frequency,optane_memory_supported,turbo_boost_max_technology2,turbo_boost_max_technology3,vPro_platform_eligibity,max_resolution_hdmi,freq_hdmi(en Hz),max_resolution_dp,freq_dp(en Hz),max_resolution_edp,freq_edp,X-series,nGeneration2,series2,series
20,i3-13100,i3,13th,,,,4,4.0,0.0,8,4.5,3.4,,,12.0,60,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,UHD 730,1.5,No,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,13.0,[],O
21,i3-13100F,i3,13th,,,,4,4.0,0.0,8,4.5,3.4,,,12.0,58,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,No,,No,Yes,No,No,,,,,,,No,13.0,['F'],F
22,i3-13100T,i3,13th,,,,4,4.0,0.0,8,4.2,2.5,,,12.0,35,128,"Up to DDR5 4800
Up to DDR4 3200",20,LGA1700,UHD 730,1.5,No,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,13.0,['T'],T
23,i9-12900KS,i9,12th,Q1,2022.0,Intel 7,16,8.0,8.0,24,5.5,3.4,2.5,,30.0,150,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.55,Yes,Yes,Yes,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,"['K', 'S']",KS
24,i9-12900K,i9,12th,Q4,2021.0,Intel 7,16,8.0,8.0,24,5.2,3.2,2.4,,30.0,125,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.55,Yes,Yes,Yes,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,['K'],K
25,i9-12900KF,i9,12th,Q4,2021.0,Intel 7,16,8.0,8.0,24,5.2,3.2,2.4,,30.0,125,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,,Yes,Yes,Yes,No,,,,,,,No,12.0,"['K', 'F']",KF
26,i9-12900F,i9,12th,Q1,2022.0,Intel 7,16,8.0,8.0,24,5.1,2.4,1.8,,30.0,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,,Yes,Yes,Yes,No,,,,,,,No,12.0,['F'],F
27,i9-12900,i9,12th,Q1,2022.0,Intel 7,16,8.0,8.0,24,5.1,2.4,1.8,,30.0,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.55,Yes,Yes,Yes,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,[],O
28,i7-12700,i7,12th,Q1,2022.0,Intel 7,12,8.0,4.0,20,4.9,2.1,1.6,,25.0,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.5,Yes,Yes,yes,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,[],O
29,i7-12700F,i7,12th,Q1,2022.0,Intel 7,12,8.0,4.0,20,4.9,2.1,1.6,,25.0,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,,Yes,Yes,Yes,No,,,,,,,No,12.0,['F'],F
30,i9-12900T,i9,12th,Q4,2021.0,Intel 7,16,8.0,8.0,24,4.9,1.4,1.0,,30.0,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.55,Yes,Yes,Yes,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,['T'],T
31,i7-12700K,i7,12th,Q1,2022.0,Intel 7,12,8.0,4.0,20,5.0,3.6,2.7,,25.0,125,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.5,Yes,Yes,yes,yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 ," 120
",No,12.0,['K'],K
32,i7-12700KF,i7,12th,Q1,2022.0,Intel 7,12,8.0,4.0,20,5.0,3.6,2.7,,25.0,125,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,,Yes,Yes,Yes,No,,,,,,,No,12.0,"['K', 'F']",KF
33,i5-12600,i5,12th,Q1,2022.0,Intel 7,6,6.0,0.0,12,4.8,3.3,,,18.0,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.45,Yes,Yes,No,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,[],O
34,i5-12400,i5,12th,Q1,2022.0,Intel 7,6,6.0,0.0,12,4.4,2.5,,,18.0,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 730,1.45,Yes,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,[],O
35,i5-12400F,i5,12th,Q1,2022.0,Intel 7,6,6.0,0.0,12,4.4,2.5,,,18.0,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,,Yes,Yes,No,No,,,,,,,No,12.0,['F'],F
36,i7-12700T,i7,12th,Q1,2022.0,Intel 7,12,8.0,4.0,20,4.7,1.4,1.0,,25.0,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.5,Yes,Yes,yes,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,['T'],T
37,i5-12400T,i5,12th,Q1,2022.0,Intel 7,6,6.0,0.0,12,4.2,1.8,,,18.0,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 730,1.45,Yes,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,['T'],T
38,i5-12500,i5,12th,Q1,2022.0,Intel 7,6,6.0,0.0,12,4.6,3.0,,,18.0,65,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.45,Yes,Yes,No,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,[],O
39,i5-12500T,i5,12th,Q1,2022.0,Intel 7,6,6.0,0.0,12,4.4,2.0,,,18.0,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.45,Yes,Yes,No,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,['T'],T
40,i5-12600K,i5,12th,Q1,2022.0,Intel 7,10,6.0,4.0,16,4.9,3.7,2.8,,20.0,125,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.45,Yes,Yes,No,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,['K'],K
41,i5-12600KF,i5,12th,Q4,2021.0,Intel 7,10,6.0,4.0,16,4.9,3.7,2.8,,20.0,125,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,,Yes,Yes,No,No,,,,,,,No,12.0,"['K', 'F']",KF
42,i3-12300,i3,12th,Q1,2022.0,Intel 7,4,4.0,0.0,8,4.4,3.5,,,12.0,60,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 730,1.45,Yes,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,[],O
43,i3-12100,i3,12th,Q1,2022.0,Intel 7,4,4.0,0.0,8,4.3,3.3,,,12.0,60,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 730,1.4,Yes,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,[],O
44,i3-12100F,i3,12th,Q1,2022.0,Intel 7,4,4.0,0.0,8,4.3,3.3,,,12.0,58,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,,Yes,Yes,No,No,,,,,,,No,12.0,['F'],F
45,i5-12600T,i5,12th,Q1,2022.0,Intel 7,6,6.0,0.0,12,4.6,2.1,,,18.0,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.45,Yes,Yes,No,Yes, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,['T'],T
46,i3-12300T,i3,12th,Q1,2022.0,Intel 7,4,4.0,0.0,8,4.2,2.3,,,12.0,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 730,1.45,Yes,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,['T'],T
47,i3-12100T,i3,12th,Q1,2022.0,Intel 7,4,4.0,0.0,8,4.1,2.2,,,12.0,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 730,1.4,Yes,Yes,No,No, 4096 x 2160 , 60, 7680 x 4320 , 60, 5120 x 3200 , 120,No,12.0,['T'],T
48,i7-11700,i7,11th,Q1,2021.0,14,8,,,16,4.9,,,2.5,16.0,65,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,Yes,Yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,11.0,[],O
49,i9-11900T,i9,11th,Q1,2021.0,14,8,,,16,4.9,,,1.5,16.0,35,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,Yes,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 ,60,No,11.0,['T'],T
50,i9-11900KF,i9,11th,Q1,2021.0,14,8,,,16,5.2,,,3.5,16.0,125,128,DDR4-3200,20,LGA1200,No ,,Yes,Yes,Yes,No,,,,,,,No,11.0,"['K', 'F']",KF
51,i9-11900K,i9,11th,Q1,2021.0,14,8,,,16,5.3,,,3.5,16.0,125,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,Yes,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 ,60,No,11.0,['K'],K
52,i9-11900F,i9,11th,Q1,2021.0,14,8,,,16,5.2,,,2.5,16.0,65,128,DDR4-3200,20,LGA1200,No ,,Yes,Yes,Yes,No,,,,,,,No,11.0,['F'],F
53,i9-11900,i9,11th,Q1,2021.0,14,8,,,16,5.2,,,2.5,16.0,65,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,Yes,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 ,60,No,11.0,[],O
54,i7-11700T,i7,11th,Q1,2021.0,14,8,,,16,4.6,,,1.4,16.0,35,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,Yes,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 ,60,No,11.0,['T'],T
55,i7-11700KF,i7,11th,Q1,2021.0,14,8,,,16,5.0,,,3.6,16.0,125,128,DDR4-3200,20,LGA1200,No ,,Yes,Yes,Yes,No,,,,,,,No,11.0,"['K', 'F']",KF
56,i7-11700K,i7,11th,Q1,2021.0,14,8,,,16,5.0,,,3.6,16.0,125,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,Yes,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 ,60,No,11.0,['K'],K
57,i7-11700F,i7,11th,Q1,2021.0,14,8,,,16,4.9,,,2.5,16.0,65,128,DDR4-3200,20,LGA1200,No ,,Yes,Yes,Yes,No,,,,,,,No,11.0,['F'],F
58,i5-11600T,i5,11th,Q1,2021.0,14,6,,,12,4.1,,,1.7,12.0,35,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,No,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 ,60,No,11.0,['T'],T
59,i5-11600KF,i5,11th,Q1,2021.0,14,6,,,12,4.9,,,3.9,12.0,125,128,DDR4-3200,20,LGA1200,No ,,Yes,Yes,No,No,,,,,,,No,11.0,"['K', 'F']",KF
60,i5-11600K,i5,11th,Q1,2021.0,14,6,,,12,4.9,,,3.9,12.0,125,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,No,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 ,60,No,11.0,['K'],K
61,i5-11600,i5,11th,Q1,2021.0,14,6,,,12,4.8,,,2.8,12.0,65,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,No,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 ,60,No,11.0,[],O
62,i5-11500T,i5,11th,Q1,2021.0,14,6,,,12,3.9,,,1.5,12.0,35,128,DDR4-3200,20,LGA1200,UHD 750,1.2,Yes,Yes,No,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 ,60,No,11.0,['T'],T
63,i5-11500,i5,11th,Q1,2021.0,14,6,,,12,4.6,,,2.7,12.0,65,128,DDR4-3200,20,LGA1200,UHD 750,1.3,Yes,Yes,No,Yes, 4096 x 2160 , 60, 5120 x 3200 , 60, 5120 x 3200 , 60,No,11.0,[],O
64,i5-11400F,i5,11th,Q1,2021.0,14,6,,,12,4.4,,,2.6,12.0,65,128,DDR4-3200,20,LGA1200,No ,,Yes,Yes,No,No,,,,,,,No,11.0,['F'],F
65,i3-10325,i3,10th,Q1,2021.0,14,4,,,8,4.7,,,3.9,8.0,65,128,DDR4-2666,16,LGA1200,UHD 630,1.15,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
66,i3-10305T,i3,10th,Q1,2021.0,14,4,,,8,4.0,,,3.0,8.0,35,128,DDR4-2666,16,LGA1200,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['T'],T
67,i3-10305,i3,10th,Q1,2021.0,14,4,,,8,4.5,,,3.8,8.0,65,128,DDR4-2666,16,LGA1200,UHD 630,1.15,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
68,i3-10105T,i3,10th,Q1,2021.0,14,4,,,8,3.9,,,3.0,6.0,35,128,DDR4-2666,16,LGA1200,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['T'],T
69,i3-10105,i3,10th,Q1,2021.0,14,4,,,8,4.4,,,3.7,6.0,65,128,DDR4-2666,16,LGA1200,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
70,i3-10105F,i3,10th,Q1,2021.0,14,4,,,8,4.4,,,3.7,6.0,65,128,DDR4-2666,16,LGA1200,No ,,Yes,Yes,No,No,,,,,,,No,10.0,['F'],F
71,i3-10100F,i3,10th,Q4,2020.0,14,4,,,8,4.3,,,3.6,6.0,65,128,DDR4-2666,16,LGA1200,No ,,Yes,Yes,No,No,,,,,,,No,10.0,['F'],F
72,i9-10850K,i9,10th,Q3,2020.0,14,10,,,20,5.2,,,3.6,20.0,125,128,DDR4-2933,16,LGA1200,UHD 630,1.2,Yes,Yes,Yes,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['K'],K
73,i9-10900T,i9,10th,Q2,2020.0,14,10,,,20,4.6,,,1.9,20.0,35,128,DDR4-2933,16,LGA1200,UHD 630,1.2,Yes,Yes,Yes,Yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['T'],T
74,i9-10900KF,i9,10th,Q2,2020.0,14,10,,,20,5.3,,,3.7,20.0,125,128,DDR4-2933,16,LGA1200,No ,,Yes,Yes,Yes,No,,,,,,,No,10.0,"['K', 'F']",KF
75,i9-10900K,i9,10th,Q2,2020.0,14,10,,,20,5.3,,,3.7,20.0,125,128,DDR4-2933,16,LGA1200,UHD 630,1.2,Yes,Yes,Yes,Yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['K'],K
76,i9-10900F,i9,10th,Q2,2020.0,14,10,,,20,5.2,,,2.8,20.0,65,128,DDR4-2933,16,LGA1200,No ,,Yes,Yes,Yes,No,,,,,,,No,10.0,['F'],F
77,i9-10900,i9,10th,Q2,2020.0,14,10,,,20,5.2,,,2.8,20.0,65,128,DDR4-2933,16,LGA1200,UHD 630,1.2,Yes,Yes,Yes,Yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
78,i7-10700T,i7,10th,Q2,2020.0,14,8,,,16,4.5,,,2.0,16.0,35,128,DDR4-2933,16,LGA1200,UHD 630,1.2,Yes,Yes,Yes,yes, 4096 x 2304 , 24, 3840 x 2160 , 60, 3840x 2160 , 60,No,10.0,['T'],T
79,i7-10700KF,i7,10th,Q2,2020.0,14,8,,,16,5.1,,,3.8,16.0,125,128,DDR4-2933,16,LGA1200,No ,,Yes,Yes,Yes,No,,,,,,,No,10.0,"['K', 'F']",KF
80,i7-10700K,i7,10th,Q2,2020.0,14,8,,,16,5.1,,,3.8,16.0,125,128,DDR4-2933,16,LGA1200,UHD 630,1.2,Yes,Yes,Yes,Yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['K'],K
81,i7-10700F,i7,10th,Q2,2020.0,14,8,,,16,4.8,,,2.9,16.0,65,128,DDR4-2933,16,LGA1200,No ,,Yes,Yes,Yes,No,,,,,,,No,10.0,['F'],F
82,i7-10700,i7,10th,Q2,2020.0,14,8,,,16,4.8,,,2.9,16.0,65,128,DDR4-2933,16,LGA1200,UHD 630,1.2,Yes,Yes,Yes,yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
83,i5-10600T,i5,10th,Q2,2020.0,14,6,,,12,4.0,,,2.4,12.0,35,128,DDR4-2666,16,LGA1200,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['T'],T
84,i5-10600KF,i5,10th,Q2,2020.0,14,6,,,12,4.8,,,4.1,12.0,125,128,DDR4-2666,16,LGA1200,No ,,Yes,Yes,No,No,,,,,,,No,10.0,"['K', 'F']",KF
85,i5-10600K,i5,10th,Q2,2020.0,14,6,,,12,4.8,,,4.1,12.0,125,128,DDR4-2666,16,LGA1200,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['K'],K
86,i5-10600,i5,10th,Q2,2020.0,14,6,,,12,4.8,,,3.3,12.0,65,128,DDR4-2666,16,LGA1200,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
87,i5-10500T,i5,10th,Q2,2020.0,14,6,,,12,3.8,,,2.3,12.0,35,128,DDR4-2666,16,LGA1200,UHD 630,1.15,Yes,Yes,No,Yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['T'],T
88,i5-10500,i5,10th,Q2,2020.0,14,6,,,12,4.5,,,3.1,12.0,65,128,DDR4-2666,16,LGA1200,UHD 630,1.15,Yes,Yes,No,Yes, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
89,i5-10400T,i5,10th,Q2,2020.0,14,6,,,12,3.6,,,2.0,12.0,35,128,DDR4-2666,16,LGA1200,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['T'],T
90,i5-10400F,i5,10th,Q2,2020.0,14,6,,,12,4.3,,,2.9,12.0,65,128,DDR4-2666,16,LGA1200,No ,,Yes,Yes,No,No,,,,,,,No,10.0,['F'],F
91,i5-10400,i5,10th,Q2,2020.0,14,6,,,12,4.3,,,2.9,12.0,65,128,DDR4-2666,16,LGA1200,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
92,i3-10320,i3,10th,Q2,2020.0,14,4,,,8,4.6,,,3.8,8.0,65,128,DDR4-2666,16,LGA1200,UHD 630,1.15,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
93,i3-10300T,i3,10th,Q2,2020.0,14,4,,,8,3.9,,,3.0,8.0,35,128,DDR4-2666,16,LGA1200,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['T'],T
94,i3-10300,i3,10th,Q2,2020.0,14,4,,,8,4.4,,,3.7,8.0,65,128,DDR4-2666,16,LGA1200,UHD 630,1.15,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
95,i3-10100T,i3,10th,Q2,2020.0,14,4,,,8,3.8,,,3.0,6.0,35,128,DDR4-2666,16,LGA1200,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,['T'],T
96,i3-10100,i3,10th,Q2,2020.0,14,4,,,8,4.3,,,3.6,6.0,65,128,DDR4-2666,16,LGA1200,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2160 , 30, 4096 x 2304 , 60, 4096 x 2304 , 60,No,10.0,[],O
97,i9-9900KS,i9,9th,Q4,2019.0,14,8,,,16,5.0,,,4.0,16.0,127,128,DDR4-2666,16,LGA1151,UHD 630,1.2,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,"['K', 'S']",KS
98,i9-10980XE,i9,X-series,Q4,2019.0,14,18,,,36,4.8,,,3.0,24.75,165,256,DDR4-2933,48,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,10.0,['E'],E
99,i9-10940X,i9,X-series,Q4,2019.0,14,14,,,28,4.8,,,3.3,19.25,165,256,DDR4-2933,48,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,10.0,[],O
100,i9-10920X,i9,X-series,Q4,2019.0,14,12,,,24,4.8,,,3.5,19.25,165,256,DDR4-2933,48,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,10.0,[],O
101,i9-10900X,i9,X-series,Q4,2019.0,14,10,,,20,4.7,,,3.7,19.25,165,256,DDR4-2933,48,LGA2066,No ,,Yes,Yes,Yes,No,,,,,,,Yes,10.0,[],O
102,i9-9900T,i9,9th,Q2,2019.0,14,8,,,16,4.4,,,2.1,16.0,35,128,DDR4-2666,16,LGA1151,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,['T'],T
103,i9-9900,i9,9th,Q2,2019.0,14,8,,,16,5.0,,,3.1,16.0,65,128,DDR4-2666,16,LGA1151,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,[],O
104,i7-9700T,i7,9th,Q2,2019.0,14,8,,,8,4.3,,,2.0,12.0,35,128,DDR4-2666,16,LGA1151,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,['T'],T
105,i7-9700F,i7,9th,Q2,2019.0,14,8,,,8,4.7,,,3.0,12.0,65,128,DDR4-2666,16,LGA1151,No ,,Yes,Yes,No,No,,,,,,,No,9.0,['F'],F
106,i7-9700,i7,9th,Q2,2019.0,14,8,,,8,4.7,,,3.0,12.0,65,128,DDR4-2666,16,LGA1151,UHD 630,1.2,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,[],O
107,i5-9600T,i5,9th,Q2,2019.0,14,6,,,6,3.9,,,2.3,9.0,35,128,DDR4-2666,16,LGA1151,UHD 630,1.15,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,['T'],T
108,i5-9600,i5,9th,Q2,2019.0,14,6,,,6,4.6,,,3.1,9.0,65,128,DDR4-2666,16,LGA1151,UHD 630,1.15,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,[],O
109,i5-9500T,i5,9th,Q2,2019.0,14,6,,,6,3.7,,,2.2,9.0,35,128,DDR4-2666,16,LGA1151,UHD 630,1.1,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,['T'],T
110,i5-9500F,i5,9th,Q2,2019.0,14,6,,,6,4.4,,,3.0,9.0,65,128,DDR4-2666,16,LGA1151,No ,,Yes,Yes,No,No,,,,,,,No,9.0,['F'],F
111,i5-9500,i5,9th,Q2,2019.0,14,6,,,6,4.4,,,3.0,9.0,65,128,DDR4-2666,16,LGA1151,UHD 630,1.1,Yes,Yes,No,Yes, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,[],O
112,i5-9400T,i5,9th,Q2,2019.0,14,6,,,6,3.4,,,1.8,9.0,35,128,DDR4-2666,16,LGA1151,UHD 630,1.05,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,['T'],T
113,i3-9350K,i3,9th,Q2,2019.0,14,4,,,4,4.6,,,4.0,8.0,91,64,DDR4-2400,16,LGA1151,UHD 630,1.15,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,['K'],K
114,i3-9320,i3,9th,Q2,2019.0,14,4,,,4,4.4,,,3.7,8.0,62,64,DDR4-2400,16,LGA1151,UHD 630,1.15,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,[],O
115,i3-9300T,i3,9th,Q2,2019.0,14,4,,,4,3.8,,,3.2,8.0,35,64,DDR4-2400,16,LGA1151,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,['T'],T
116,i3-9300,i3,9th,Q2,2019.0,14,4,,,4,4.3,,,3.7,8.0,62,64,DDR4-2400,16,LGA1151,UHD 630,1.15,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,[],O
117,i3-9100T,i3,9th,Q2,2019.0,14,4,,,4,3.7,,,3.1,6.0,35,64,DDR4-2400,16,LGA1151,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,['T'],T
118,i3-9100F,i3,9th,Q2,2019.0,14,4,,,4,4.2,,,3.6,6.0,65,64,DDR4-2400,16,LGA1151,No ,,Yes,Yes,No,No,,,,,,,No,9.0,['F'],F
119,i3-9100,i3,9th,Q2,2019.0,14,4,,,4,4.2,,,3.6,6.0,65,64,DDR4-2400,16,LGA1151,UHD 630,1.1,Yes,Yes,No,No, 4096 x 2304 , 24, 4096 x 2304 , 60, 4096 x 2304 , 60,No,9.0,[],O
